# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'task-clock:ppp'
# Event count (approx.): 23553270750
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.08%  [.] tokio::process::imp::orphan::OrphanQueueImpl<T>::reap_orphans
     0.07%  [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     0.07%  [k] __list_del_entry_valid_or_report
     0.07%  [k] __netif_receive_skb_one_core
     0.07%  [.] chrono::naive::date::NaiveDate::from_num_days_from_ce_opt
     0.07%  [k] ip_rcv
     0.07%  [.] tokio::runtime::driver::IoHandle::unpark
     0.07%  [.] <serde_json::value::ser::SerializeMap as serde_core::ser::SerializeStruct>::end
     0.07%  [.] <uuid::timestamp::context::v7_support::SharedContextV7 as uuid::timestamp::ClockSequence>::generate_timestamp_sequence
     0.07%  [.] _ZN5tokio4sync9broadcast15Shared$LT$T$GT$9notify_rx17h62041de00544977eE.llvm.2763628079624119439
     0.07%  [k] __alloc_skb
     0.07%  [.] <a2a_server::task_store::inmemory::InMemoryTaskStore as a2a_server::task_store::store::TaskStore>::get
     0.07%  [k] skb_clone
     0.07%  [.] tokio::runtime::task::core::TaskIdGuard::enter
     0.07%  [.] <a2a_pb::protojson::Task as prost::message::Message>::merge_field
     0.07%  [.] tokio::sync::rwlock::RwLock$LT$T$GT$::read::_$u7b$$u7b$closure$u7d$$u7d$::h5f8f2e0fa802e114
     0.07%  [.] _ZN4core3ptr45drop_in_place$LT$serde_json..value..Value$GT$17h56a4516f0cd81da1E.llvm.2136855078717401110
     0.07%  [k] __netif_receive_skb
     0.07%  [k] clear_page_erms
     0.07%  [k] memcg1_commit_charge
     0.07%  [k] schedule_hrtimeout_range_clock
     0.06%  [.] <T as tower::util::boxed_clone_sync::CloneService<R>>::clone_box
     0.06%  [.] <a2a_pb::protojson::Message as serde_core::de::Deserialize>::deserialize
     0.06%  [.] _ZN5tokio7runtime2io6driver6Driver4turn17h3482d82da1339854E.llvm.5286350278050688420
     0.06%  [.] alloc::fmt::format::format_inner
     0.06%  [.] axum::routing::strip_prefix::strip_prefix
     0.06%  [.] <hyper::proto::h1::dispatch::Server<S,hyper::body::incoming::Incoming> as hyper::proto::h1::dispatch::Dispatch>::recv_msg
     0.06%  [.] _ZN71_$LT$agent_rs..Bench$u20$as$u20$a2a_server..executor..AgentExecutor$GT$7execute28_$u7b$$u7b$closure$u7d$$u7d$17hd34290c78c79cd98E.llvm.11602243760025912894
     0.06%  [.] atomic_waker::AtomicWaker::register
     0.06%  [.] axum::extract::matched_path::set_matched_path_for_request
     0.06%  [.] <serde_path_to_error::de::CaptureKey<X> as serde_core::de::Deserializer>::deserialize_str
     0.06%  [.] <tower::util::map_future::MapFuture<S,F> as tower_service::Service<R>>::call
     0.06%  [.] _ZN5bytes5bytes11shared_drop17h9c61ff5fe5e154c6E.llvm.10983277264658936910
     0.06%  [k] __dev_queue_xmit
     0.06%  [.] hashbrown::raw::RawTable<T,A>::reserve_rehash
     0.06%  [k] ip_finish_output2
     0.06%  [.] tokio::task::spawn::spawn
     0.06%  [.] <tokio::sync::broadcast::Receiver<T> as core::ops::drop::Drop>::drop
     0.06%  [.] <tokio::sync::notify::Notified as core::future::future::Future>::poll
     0.06%  [.] _ZN4core3ptr58drop_in_place$LT$a2a_server..handler..ExecutionRuntime$GT$17h2abaf8244d6c6528E.llvm.6777118041810832509
     0.06%  [.] core::fmt::write
     0.06%  [.] hyper::proto::h1::io::WriteBuf<B>::buffer
     0.06%  [k] ip_protocol_deliver_rcu
     0.06%  [.] serde_json::read::SliceRead::skip_to_escape
     0.06%  [.] std::sys::pal::unix::time::Timespec::now
     0.06%  [.] tokio::runtime::time::<impl tokio::runtime::time::handle::Handle>::process_at_time
     0.06%  [k] vfs_write
     0.06%  [.] <tokio::sync::mpsc::chan::Rx<T,S> as core::ops::drop::Drop>::drop
     0.06%  [k] __rcu_read_lock
     0.06%  [k] do_softirq.part.0
     0.06%  [.] hashbrown::raw::RawTable<T,A>::reserve_rehash
     0.06%  [.] tokio::io::poll_evented::PollEvented<E>::poll_read
     0.06%  [k] vfs_writev
